model,tts_backend,word_count_low,word_count_high,row_count,conversion_time_s_mean,conversion_time_s_var,conversion_time_s_std,conversion_time_s_min,conversion_time_s_max,audio_duration_s_mean,audio_duration_s_var,audio_duration_s_std,audio_duration_s_min,audio_duration_s_max,real_time_factor_mean,real_time_factor_var,real_time_factor_std,real_time_factor_min,real_time_factor_max
Supertone/supertonic-3,supertonic,11,11,725,0.6671995009163004,0.006669434258382083,0.08166660430299574,0.5366224246099591,0.9292859705165029,4.841646436527713,0.6724000018665839,0.8200000011381609,3.4201619625091553,6.837942123413086,7.195455343118501,0.4262439001872424,0.65287357136527,5.84798109435534,8.593276812877003
Supertone/supertonic-3,supertonic,12,12,761,0.6930232158257035,0.00557070156148267,0.07463713259151017,0.5624804617837071,0.9502060161903501,5.23225798189205,0.637149689428734,0.7982165679993958,3.8057847023010254,7.241794586181641,7.50735332570622,0.3926741767256146,0.6266371970491494,6.16401442659045,8.863044367073867
Supertone/supertonic-3,supertonic,13,13,775,0.7308481594018499,0.005395243793585759,0.07345232326880995,0.5853575170040131,1.0022596642374992,5.696503755522937,0.6849454408475925,0.8276143068166429,4.285668849945068,7.754112720489502,7.7650578225306415,0.390826327595852,0.6251610413292338,6.494522392984602,9.059705598525206
Supertone/supertonic-3,supertonic,14,14,775,0.7565955149485506,0.006507058581861464,0.08066634107148696,0.6012600418180227,1.0319783808663487,6.02621763303256,0.8182666596130022,0.9045809303832367,4.406071186065674,8.186461448669434,7.943458754251539,0.41335094985868737,0.6429237512012504,6.642804480676013,9.23230332280999
Supertone/supertonic-3,supertonic,15,15,841,0.790200778293021,0.008259383070625837,0.09088114804856856,0.6622481811791658,1.1133977333083749,6.501807721161937,0.9064248552197905,0.9520634722642134,4.875613212585449,8.921375274658203,8.188395472881172,0.3352231029752649,0.578984544677373,6.924795803668972,9.353390181018797
Supertone/supertonic-3,supertonic,16,16,891,0.8138883372794339,0.008509331358207743,0.09224603708673747,0.6800962304696441,1.0975818103179336,6.82564648260338,1.011293790391772,1.0056310408851608,5.118758678436279,9.365865707397461,8.362595079360737,0.33678623156678744,0.5803328627320595,7.084402146543866,9.431318415332719
Supertone/supertonic-3,supertonic,17,17,931,0.8303503916568814,0.007749000439783652,0.08802840700469168,0.698966484516859,1.102438990958035,7.061617475826395,1.0055932343368565,1.0027927175328193,5.569759368896484,9.298836708068848,8.460528977335759,0.32725049245079346,0.5720581198189512,7.241228912445914,9.566368742329495
Supertone/supertonic-3,supertonic,18,18,837,0.8814157509785467,0.01069577669414894,0.10342038819376448,0.7266612341627479,1.1872851783409715,7.629580830831135,1.0613062614972841,1.0301971954423503,5.806617736816406,10.102063179016113,8.643838883751549,0.26862904370434976,0.5182943600931326,7.354022542072375,9.684838363476448
Supertone/supertonic-3,supertonic,19,19,856,0.914862644143838,0.010587716432239625,0.10289662983907502,0.746812897734344,1.2050018375739455,8.090016135921726,1.169637317661387,1.0814977196746127,6.149659156799316,10.517637252807617,8.817182256222946,0.23440802273336597,0.484157022807029,7.611921990236645,9.78274977934296
Supertone/supertonic-3,supertonic,20,20,852,0.9563121185893334,0.013208057811400241,0.11492631470381463,0.7630273122340441,1.2467489717528224,8.576015225900994,1.358298021761679,1.1654604333745864,6.3939971923828125,11.222500801086426,8.962542577829838,0.2188001416195553,0.4677607739214088,7.718271638441343,9.865053593888414
