model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,request_any_unit_missed_count,measured_request_count,unit_deadline_miss_rate,request_any_unit_miss_rate,cell_valid
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,256,64.0,266.67513512427473,22559.0,7.0,1,False,True,7,1025,0.0003102974422625116,0.006829268292682927,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,256,80.0,263.07749416387577,22656.0,12.0,1,False,True,12,1025,0.0005296610169491525,0.011707317073170732,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,8.0,128.0,23057.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,16.0,127.9997906340948,23082.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,32.0,127.99883843426802,22824.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,48.0,127.99953270288256,23148.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,64.0,127.99909367979662,23347.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,80.0,127.99864810153395,23007.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,8.0,255.98670442160284,22863.0,2.0,1,False,True,2,1025,8.747758386913353e-05,0.001951219512195122,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,16.0,255.9777906554306,22883.0,2.0,1,False,True,2,1025,8.740112747454443e-05,0.001951219512195122,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,32.0,255.9903228475531,23199.0,2.0,1,False,True,2,1025,8.6210612526402e-05,0.001951219512195122,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,48.0,255.99263930382568,22927.0,3.0,1,False,True,3,1025,0.00013085008941422777,0.002926829268292683,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,64.0,255.99129483576414,22958.0,3.0,1,False,True,3,1025,0.00013067340360658594,0.002926829268292683,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,80.0,255.99008532635762,23292.0,1.0,1,False,True,1,1025,4.29331959471063e-05,0.000975609756097561,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,128,8.0,576.4879135360496,10167.0,7.0,1,False,True,7,1025,0.0006885020163273335,0.006829268292682927,False
