model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,unit_deadline_miss_rate,cell_valid
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,32.0,255.99740429896613,22810.0,1.0,1,False,True,4.3840420868040336e-05,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,40.0,255.9935291450918,23199.0,2.0,1,False,True,8.6210612526402e-05,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,48.0,255.98452676850994,22821.0,1.0,1,False,True,4.381928925112835e-05,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,8.0,348.4790400602147,13415.0,0.0,1,True,True,0.0,True
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,16.0,769.7489664522387,8965.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,24.0,753.511670667992,10332.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,32.0,762.2043422199978,9680.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,40.0,765.9927777330339,9034.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,128,48.0,733.4249811215019,10382.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,8.0,364.6835837410303,16302.0,0.0,1,True,True,0.0,True
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,16.0,893.9358458257883,11016.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,24.0,919.0528996295851,11515.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,32.0,920.1391191164971,11406.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,40.0,889.8310287347682,11513.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,ProgressServe,256,48.0,911.5955606680405,11403.0,0.0,1,False,True,0.0,False
